,Model,Accuracy
0,Baseline (Default),0.8627
1,"Tune 1
{'learning_rate': 0.05
'n_estimators': 100
'num_leaves': 31}",0.8368500000000001
2,"Tune 2
{'learning_rate': 0.05
'n_estimators': 100
'num_leaves': 50}",0.843975
3,"Tune 3
{'learning_rate': 0.05
'n_estimators': 200
'num_leaves': 31}",0.8608750000000001
4,"Tune 4
{'learning_rate': 0.05
'n_estimators': 200
'num_leaves': 50}",0.867525
5,"Tune 5
{'learning_rate': 0.1
'n_estimators': 100
'num_leaves': 31}",0.859475
6,"Tune 6
{'learning_rate': 0.1
'n_estimators': 100
'num_leaves': 50}",0.8652749999999999
7,"Tune 7
{'learning_rate': 0.1
'n_estimators': 200
'num_leaves': 31}",0.8744500000000001
8,"Tune 8
{'learning_rate': 0.1
'n_estimators': 200
'num_leaves': 50}",0.878425
9,Final Tuned Model,0.8795
